field,distant (Lin 0.01-0.5),missing,related (Lin 0.5-0.99),same term,unrelated (Lin <= 0.01),mean_lin_of_mistakes,mean_lin_of_wrong_values
species,0.0,0.0,0.057971014492753624,0.9130434782608695,0.028985507246376812,0.3,0.3
cell_line,0.0,0.0,0.0,0.8611111111111112,0.1388888888888889,0.0,0.0
instrument,0.010101010101010102,0.0,0.1111111111111111,0.7878787878787878,0.09090909090909091,0.0003182615078538111,0.0003182615078538111
label,0.09523809523809523,0.0,0.07936507936507936,0.783068783068783,0.042328042328042326,0.21647867985463126,0.21647867985463126
cleavage_agent,0.0,0.11764705882352941,0.1568627450980392,0.7254901960784313,0.0,0.03138315005774493,0.5962798510971538
disease,0.044444444444444446,0.0,0.28888888888888886,0.5666666666666667,0.1,0.07306816235592051,0.07306816235592051
organ,0.12698412698412698,0.0,0.4523809523809524,0.2698412698412698,0.15079365079365079,0.028826399368615273,0.028826399368615273
cell_type,0.037037037037037035,0.0,0.2962962962962963,0.24074074074074073,0.42592592592592593,0.022708181039341125,0.022708181039341125
