PXD	Runs	HAMLET Tissue	Cell Type	Sample Source	MLMarker Predictions
PXD009933	56	zone of skin	fibroblast	prepuce	{'Kidney': 23, 'Monocytes': 17, 'Testis': 6, 'Endometrium': 4, 'Skeletal muscle': 2, 'Brain': 1, 'Heart': 1, 'Prostate': 1, 'Placenta': 1}
PXD003414	11	zone of skin	fibroblast; endothelial cell	cell culture	{'Kidney': 6, 'Bone marrow': 2, 'Testis': 1, 'Ovary': 1, 'Endometrium': 1}
PXD003415	12	zone of skin	fibroblast; endothelial cell; peripheral blood mononuclear cell	cell culture	{'Kidney': 6, 'Bone marrow': 4, 'Endometrium': 1, 'Testis': 1}
PXD047774	35	zone of skin; kidney	fibroblast; kidney cell	skin biopsy	{'Bone marrow': 17, 'Lung': 10, 'Testis': 5, 'Kidney': 3}
PXD007732	15	zone of skin; bile	fibroblast	cell culture	{'Kidney': 15}
PXD010622	4	foreskin	foreskin fibroblast	cell culture	{'Kidney': 2, 'Monocytes': 2}
