pxd,Adipose tissue,Adrenal gland,Appendix,Bone marrow,Brain,Colon,Duodenum,Endometrium,Esophagus,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Oviduct,Pituitary gland,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder,unresolved
PXD010296,,,,,,,,,,,,,,0.415,,,,,,,,,0.439,,,,,,0.146
PXD048647,,,,,,0.75,,,,,,,,,,,,,,0.0,,,,,,,,,0.25
PXD006401,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,0.0
PXD048734,,,,,,0.121,,,0.017,,0.086,0.155,0.552,,0.017,,,,,,,,,0.052,,,,,0.0
PXD005693,,,,,,0.846,,,,,,0.0,,,,,,,,,,,,,,,,,0.154
PXD010271,,,,,0.268,,,,,,,0.268,,,0.223,,,,,,,,,,,,,,0.241
PXD020192,,,,0.0,0.178,0.1,,,,0.122,0.033,0.089,0.367,0.0,,,,0.022,,,,,0.022,,0.067,,,,0.0
PXD000561,,0.035,,,0.082,0.094,,,0.047,0.106,0.094,0.082,0.224,,0.0,,,0.035,0.024,0.0,,,,,0.141,,,0.024,0.012
PXD010154,0.025,0.025,0.025,0.025,0.025,0.075,0.0,0.05,0.05,0.025,0.025,0.1,0.1,0.025,0.025,0.025,0.05,0.05,0.025,0.0,0.025,0.05,0.025,0.05,0.025,0.025,0.025,0.025,0.0
