Source Name	Characteristics[organism]	Characteristics[organism part]	assay name	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	comment[label]	comment[fractionation method]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[ms2 mass analyzer].1	comment[instrument]	comment[separation]	comment[dissociation method]	comment[dissociation method].1	comment[HCD collision energy]	comment[HCD collision energy].1	comment[HCD collision energy].2	comment[CID collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	comment[technical replicate]	characteristics[synthetic peptide]
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_2	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA2-TUM_mod_citrullination_l_2_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_2	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA2-TUM_mod_citrullination_l_2_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_2	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA2-TUM_mod_citrullination_l_2_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_3	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA3-TUM_mod_citrullination_l_3_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_3	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA3-TUM_mod_citrullination_l_3_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_3	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA3-TUM_mod_citrullination_l_3_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_4	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA4-TUM_mod_citrullination_l_4_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_4	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA4-TUM_mod_citrullination_l_4_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_4	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA4-TUM_mod_citrullination_l_4_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_5	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA5-TUM_mod_citrullination_l_5_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_5	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA5-TUM_mod_citrullination_l_5_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_5	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA5-TUM_mod_citrullination_l_5_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_6	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA6-TUM_mod_citrullination_l_6_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_6	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA6-TUM_mod_citrullination_l_6_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_6	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA6-TUM_mod_citrullination_l_6_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_7	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA7-TUM_mod_citrullination_l_7_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_7	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA7-TUM_mod_citrullination_l_7_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_7	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA7-TUM_mod_citrullination_l_7_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_8	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000264; NT=IonTrap	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000133;NT=CID	AC=MS:1000422;NT=HCD	20 NCE	23 NCE	28 NCE	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA8-TUM_mod_citrullination_l_8_01_01-2xIT_2xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_8	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	not available	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	not available	25 NCE	30 NCE	35 NCE	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_GA8-TUM_mod_citrullination_l_8_01_01-3xHCD-1h-R1.raw	synthetic	1	synthetic
Proteometools	Homo sapiens	not applicable	TUM_mod_citrullination_l_8	not applicable	not applicable	not applicable	not applicable	not applicable	AC=MS:1002038;NT=label free sample	no fractionation	1	AC=MS:1000484; NT=Orbitrap	AC=MS:1000264; NT=IonTrap	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000422;NT=HCD	AC=MS:1000133;NT=CID	28 NCE	not available	not available	35 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Citrullination;AC=UNIMOD:7;MT=Variable;TA=R	4.5 ppm	20 ppm	02207a_BA8-TUM_mod_citrullination_l_8_01_01-DDA-1h-R1.raw	synthetic	1	synthetic
