Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	characteristics[biological replicate]	Characteristics[cell line]	characteristics[individual]	assay name	comment[label]	comment[technich replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[data file]	Material Type	factor value[cell line]	sampleChecksum	sampleAccession
PXD008222-Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 11	AC=MS:1002038;NT=label free sample	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01531.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01531.raw	cell	MDAMB468	9effa9ba4e95da8c4a86da6ddd1acf1865422251d371736b1a30aefd121e03cc	SAMEA7713382
PXD008222-Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 12	AC=MS:1002038;NT=label free sample	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01532.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01532.raw	cell	MDAMB468	9effa9ba4e95da8c4a86da6ddd1acf1865422251d371736b1a30aefd121e03cc	SAMEA7713382
PXD008222-Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 13	AC=MS:1002038;NT=label free sample	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01533.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01533.raw	cell	MDAMB468	9effa9ba4e95da8c4a86da6ddd1acf1865422251d371736b1a30aefd121e03cc	SAMEA7713382
PXD008222-Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 14	AC=MS:1002038;NT=label free sample	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01534.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01534.raw	cell	MDAMB468	9effa9ba4e95da8c4a86da6ddd1acf1865422251d371736b1a30aefd121e03cc	SAMEA7713382
PXD008222-Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 15	AC=MS:1002038;NT=label free sample	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01535.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01535.raw	cell	MDAMB468	9effa9ba4e95da8c4a86da6ddd1acf1865422251d371736b1a30aefd121e03cc	SAMEA7713382
PXD008222-Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 16	AC=MS:1002038;NT=label free sample	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01538.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01538.raw	cell	MCF10A	87736094b13f8a0292ca361495fc6aba7bac5a29fbb54527576d0c443e69fa26	SAMEA7713383
PXD008222-Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 17	AC=MS:1002038;NT=label free sample	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01551.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01551.raw	cell	MCF10A	87736094b13f8a0292ca361495fc6aba7bac5a29fbb54527576d0c443e69fa26	SAMEA7713383
PXD008222-Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 18	AC=MS:1002038;NT=label free sample	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01552.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01552.raw	cell	MCF10A	87736094b13f8a0292ca361495fc6aba7bac5a29fbb54527576d0c443e69fa26	SAMEA7713383
PXD008222-Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 19	AC=MS:1002038;NT=label free sample	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01553.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01553.raw	cell	MCF10A	87736094b13f8a0292ca361495fc6aba7bac5a29fbb54527576d0c443e69fa26	SAMEA7713383
PXD008222-Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 20	AC=MS:1002038;NT=label free sample	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01554.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01554.raw	cell	MCF10A	87736094b13f8a0292ca361495fc6aba7bac5a29fbb54527576d0c443e69fa26	SAMEA7713383
