comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[modification parameters].5	comment[modification parameters].6	comment[modification parameters].7	comment[modification parameters].8
E241230_11_AMC_Bolland_Separase_Cohsein_DNA_SulfoSDA_10min_IDruns_Inj1.raw					20.0 ppm	7.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Phospho;MT=Variable;PP=Anywhere;TA=STY;MM=79.96633	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=K:110;MT=Variable;PP=Anywhere;TA=K;MM=110.04801	NT=K:82;MT=Variable;PP=Anywhere;TA=K;MM=82.04186	NT=K:100;MT=Variable;PP=Anywhere;TA=K;MM=100.05243	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
E241230_12_AMC_Bolland_Separase_Cohsein_DNA_SulfoSDA_10min_IDruns_Inj2.raw					20.0 ppm	7.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Phospho;MT=Variable;PP=Anywhere;TA=STY;MM=79.96633	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=K:110;MT=Variable;PP=Anywhere;TA=K;MM=110.04801	NT=K:82;MT=Variable;PP=Anywhere;TA=K;MM=82.04186	NT=K:100;MT=Variable;PP=Anywhere;TA=K;MM=100.05243	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
E241230_13_AMC_Bolland_Separase_Cohsein_DNA_SulfoSDA_10min_IDruns_Inj3.raw					20.0 ppm	7.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Phospho;MT=Variable;PP=Anywhere;TA=STY;MM=79.96633	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=K:110;MT=Variable;PP=Anywhere;TA=K;MM=110.04801	NT=K:82;MT=Variable;PP=Anywhere;TA=K;MM=82.04186	NT=K:100;MT=Variable;PP=Anywhere;TA=K;MM=100.05243	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
