Source Name	characteristics[sample type]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[synthetic molecule]	characteristics[biological replicate]	Assay Name	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[cleavage agent details]	comment[instrument]	comment[label]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]
Immunopeptidomics_cell_model_JY_ETV6-RUNX1|E5_4_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Lentivirus mCherry-T2A-ETV6-RUNX1|E5_4	1	Immunopeptidomics FAIMS-PRM	3	1	MAPs_PRM_20250807_GF03_ETV6-RUNX1_E5-4_t2Pep_IP0069_S17_25Mi_R3.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl2_FAIMS-DDA	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-DDA	1	1	MAPs_20250630_FAIMS-DDA_IP0069_20Mi_QC_S01.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl2_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-PRM	1	1	MAPs_PRM_20250807_3AllelesJY_t5Pep_IP0069_S01_25Mi_R1.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl2_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-PRM	2	1	MAPs_PRM_20250807_3AllelesJY_t5Pep_IP0069_S01_25Mi_R2.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
Immunopeptidomics_cell_model_JY-ctrl2_FAIMS-PRM	biological	Homo sapiens	blood	Lymphoblastic	Leukemia	JY	Wild-type	1	Immunopeptidomics FAIMS-PRM	3	1	MAPs_PRM_20250807_3AllelesJY_t5Pep_IP0069_S01_25Mi_R3.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_ETV6_RUNX1_E5_4_digested_50ng-PRM	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	PPep_PRM_20250804_GF03_ETV6-RUNX1_E5-4_t2Pep_PPepDiMix_50ng.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_ETV6_RUNX1_E5_4_digested_90ng-PRM	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	PPep_PRM_20250814_GF03_ETV6-RUNX1_E5-4_t2Pep_PPepDiMix_90ng.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
HEK_digest_proteasome_digest_ETV6_RUNX1_E5_4_digested-PRM	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	MAPs_PRM_20250813_GF03_ETV6-RUNX1_E5-4_t2Pep_SPIKED_HEKdi80ng-PPepDi100ng.raw	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR_ABL1_E1_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA02_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR_ABL1_E1_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA02_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
