Source Name	characteristics[sample type]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[synthetic molecule]	characteristics[biological replicate]	Assay Name	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[cleavage agent details]	comment[instrument]	comment[label]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	15_06_2022_A8028_11_N2_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	15_06_2022_A8028_11_N3_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	15_06_2022_A8028_11_N3_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	15_06_2022_A8028_11_N3_04_05_2022_M0E7_CELL_LINE_CBFA2T3_GLIS2_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_E11_4_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	07_07_2022_A8028_10_N1_CBFA2T3_GLIS2_ALEX_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	07_07_2022_A8028_10_N1_CBFA2T3_GLIS2_ALEX_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	07_07_2022_A8028_10_N1_CBFA2T3_GLIS2_ALEX_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	07_07_2022_A8028_10_N2_CBFA2T3_GLIS2_ALEX_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	07_07_2022_A8028_10_N2_CBFA2T3_GLIS2_ALEX_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	07_07_2022_A8028_10_N2_CBFA2T3_GLIS2_ALEX_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	07_07_2022_A8028_10_N3_CBFA2T3_GLIS2_ALEX_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	07_07_2022_A8028_10_N3_CBFA2T3_GLIS2_ALEX_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	07_07_2022_A8028_10_N3_CBFA2T3_GLIS2_ALEX_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	07_07_2022_A8028_10_N4_CBFA2T3_GLIS2_ALEX_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	07_07_2022_A8028_10_N4_CBFA2T3_GLIS2_ALEX_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	07_07_2022_A8028_10_N4_CBFA2T3_GLIS2_ALEX_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	07_07_2022_A8028_10_N1_CBFA2T3_GLIS2_ALEX_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	07_07_2022_A8028_10_N1_CBFA2T3_GLIS2_ALEX_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	07_07_2022_A8028_10_N1_CBFA2T3_GLIS2_ALEX_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	07_07_2022_A8028_10_N2_CBFA2T3_GLIS2_ALEX_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	07_07_2022_A8028_10_N2_CBFA2T3_GLIS2_ALEX_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	07_07_2022_A8028_10_N2_CBFA2T3_GLIS2_ALEX_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	07_07_2022_A8028_10_N3_CBFA2T3_GLIS2_ALEX_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	07_07_2022_A8028_10_N3_CBFA2T3_GLIS2_ALEX_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	07_07_2022_A8028_10_N3_CBFA2T3_GLIS2_ALEX_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	07_07_2022_A8028_10_N4_CBFA2T3_GLIS2_ALEX_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	07_07_2022_A8028_10_N4_CBFA2T3_GLIS2_ALEX_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	07_07_2022_A8028_10_N4_CBFA2T3_GLIS2_ALEX_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFA2T3-GLIS2_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	15_006_2022_A8028_13_N1_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	15_006_2022_A8028_13_N1_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	15_006_2022_A8028_13_N1_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	15_006_2022_A8028_13_N2_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	15_006_2022_A8028_13_N2_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	15_006_2022_A8028_13_N2_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	15_006_2022_A8028_13_N3_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	15_006_2022_A8028_13_N3_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	15_006_2022_A8028_13_N3_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	15_006_2022_A8028_13_N4_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	15_006_2022_A8028_13_N4_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	15_006_2022_A8028_13_N4_10_05_2022_CBFB-MYH11_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	15_06_2022_A8028_13_N1_10_05_2022_CBFB-MYH11_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	15_06_2022_A8028_13_N1_10_05_2022_CBFB-MYH11_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	15_06_2022_A8028_13_N1_10_05_2022_CBFB-MYH11_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	15_06_2022_A8028_13_N2_10_05_2022_CBFB-MYH11_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	15_06_2022_A8028_13_N2_10_05_2022_CBFB-MYH11_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	15_06_2022_A8028_13_N4_10_05_2022_CBFB-MYH11_ONLY_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	15_06_2022_A8028_13_N4_10_05_2022_CBFB-MYH11_ONLY_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	15_06_2022_A8028_13_N4_10_05_2022_CBFB-MYH11_ONLY_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CBFB-MYH11_E5_33_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	10_06_2022_A8028_4_N1_CENPL_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	10_06_2022_A8028_4_N1_CENPL_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	10_06_2022_A8028_4_N1_CENPL_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	10_06_2022_A8028_4_N2_CENPL_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	10_06_2022_A8028_4_N2_CENPL_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	10_06_2022_A8028_4_N2_CENPL_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	10_06_2022_A8028_4_N3_CENPL_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	10_06_2022_A8028_4_N3_CENPL_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	10_06_2022_A8028_4_N3_CENPL_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	10_06_2022_A8028_4_N4_CENPL_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	10_06_2022_A8028_4_N4_CENPL_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	10_06_2022_A8028_4_N4_CENPL_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	10_06_2022_A8028_4_N1_CENPL_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	10_06_2022_A8028_4_N2_CENPL_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	10_06_2022_A8028_4_N2_CENPL_ABL_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	10_06_2022_A8028_4_N2_CENPL_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	10_06_2022_A8028_4_N3_CENPL_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	10_06_2022_A8028_4_N3_CENPL_ABL_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	10_06_2022_A8028_4_N3_CENPL_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	10_06_2022_A8028_4_N4_CENPL_ABL_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	10_06_2022_A8028_4_N4_CENPL_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_CENPC-ABL1_UNK_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA04_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA04_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA04_50ng_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	20240102_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SB04_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	20240102_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SB04_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	20240102_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SB04_50ng_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	20231220_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_S04_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	20231220_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_S04_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	20231220_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_S04_50ng_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA03_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA03_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	20231227_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SA03_50ng_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	3	1	20240102_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SB03_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	20240102_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SB03_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	20240102_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_SB03_50ng_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	20231220_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_S03_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	20231220_PPepDi_Proteasome_DG003_N3_14Dec2023_ISA_S03_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_DEK_NUP214_E9_18_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	PPepDi_IS231025_6A_50ng_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_ETV6_RUNX1_E5_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	PPepDi_IS231025_6A_50ng_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_ETV6_RUNX1_E5_4_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	2	1	PPepDi_IS231025_6A_50ng_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
