source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[cleavage agent details].1	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[developmental stage]
H3255 g5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g1	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_1_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g2	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_1_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g3	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_1_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
gC9 g9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_PC9lys_GP_3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
