source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	assay name	 technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
250221_BS-10298_17	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 17	proteomic profiling by mass spectrometry	aavs1_rep1	250221_BS-10298_17.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_18	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 18	proteomic profiling by mass spectrometry	aavs1_rep2	250221_BS-10298_18.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_19	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 19	proteomic profiling by mass spectrometry	aavs1_rep3	250221_BS-10298_19.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_20	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 20	proteomic profiling by mass spectrometry	aavs1_rep4	250221_BS-10298_20.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_21	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 21	proteomic profiling by mass spectrometry	ube2f_rep1	250221_BS-10298_21.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_22	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 22	proteomic profiling by mass spectrometry	ube2f_rep2	250221_BS-10298_22.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_23	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 23	proteomic profiling by mass spectrometry	ube2f_rep3	250221_BS-10298_23.raw	1	label free sample	trypsin	Orbitrap Astral
250221_BS-10298_24	homo sapiens	blood	natural killer cell derived cell line	natural killer cell lymphoblastic leukemia/lymphoma	NK-92	1	not available	not applicable	male	run 24	proteomic profiling by mass spectrometry	ube2f_rep4	250221_BS-10298_24.raw	1	label free sample	trypsin	Orbitrap Astral
